cluster,predicted_category,model_score,model_std
NODE_110_length_62357_cov_26.889586_56,unknown,0.9620554,0.03543534129858017
NODE_110_length_62357_cov_26.889586_57,unknown,0.99705404,0.0007124543190002441
NODE_110_length_62357_cov_26.889586_58,unknown,0.8843176,0.11037518829107285
NODE_110_length_62357_cov_26.889586_59,unknown,0.89074045,
NODE_110_length_62357_cov_26.889586_61,unknown,0.56720585,
NODE_110_length_62357_cov_26.889586_63,tail,0.47406036,0.4718391001224518
NODE_110_length_62357_cov_26.889586_64,unknown,0.9743395,
NODE_110_length_62357_cov_26.889586_65,unknown,0.9752042,
NODE_110_length_62357_cov_26.889586_67,unknown,0.92107695,
NODE_110_length_62357_cov_26.889586_68,lysis,0.8150216,
NODE_110_length_62357_cov_26.889586_69,transcription regulation,0.9986206,
NODE_110_length_62357_cov_26.889586_70,unknown,0.938301,
NODE_110_length_62357_cov_26.889586_71,unknown,0.9678564,
NODE_110_length_62357_cov_26.889586_72,unknown,0.9735552,
NODE_110_length_62357_cov_26.889586_74,unknown,0.9577344,
NODE_110_length_62357_cov_26.889586_75,unknown,0.99427295,
NODE_110_length_62357_cov_26.889586_77,unknown,0.8961586,
NODE_110_length_62357_cov_26.889586_78,unknown,0.9734988,
NODE_110_length_62357_cov_26.889586_80,unknown,0.998958,
NODE_110_length_62357_cov_26.889586_81,unknown,0.97799724,0.015890121459960938
NODE_110_length_62357_cov_26.889586_83,unknown,0.99526453,
NODE_110_length_62357_cov_26.889586_84,unknown,0.99479395,
NODE_110_length_62357_cov_26.889586_86,unknown,0.9990363,
NODE_110_length_62357_cov_26.889586_87,unknown,0.9820501,0.00975334644317627
NODE_110_length_62357_cov_26.889586_88,unknown,0.9623211,
NODE_110_length_62357_cov_26.889586_9,unknown,0.8533567,0.12588712573051453
NODE_110_length_62357_cov_26.889586_90,unknown,0.9265647,
NODE_110_length_62357_cov_26.889586_92,unknown,0.8966318,
NODE_110_length_62357_cov_26.889586_93,unknown,0.96435714,
NODE_110_length_62357_cov_26.889586_94,unknown,0.9981737,
NODE_110_length_62357_cov_26.889586_95,unknown,0.9941661,
NODE_110_length_62357_cov_26.889586_96,unknown,0.9723393,
NODE_110_length_62357_cov_26.889586_97,unknown,0.9395231,
NODE_110_length_62357_cov_26.889586_98,unknown,0.96629614,
NODE_110_length_62357_cov_26.889586_99,unknown,0.9730215,
NODE_1110_length_60457_cov_33.462402_1,"DNA, RNA and nucleotide metabolism",0.9999244,
NODE_1110_length_60457_cov_33.462402_10,unknown,0.9244247,0.03372114524245262
NODE_1110_length_60457_cov_33.462402_11,unknown,0.9253851,0.007688963320106268
NODE_1110_length_60457_cov_33.462402_12,unknown,0.98723096,0.0007699256530031562
NODE_1110_length_60457_cov_33.462402_13,unknown,0.9900951,0.008022413589060307
NODE_1110_length_60457_cov_33.462402_15,"DNA, RNA and nucleotide metabolism",0.9984822,0.00036212411941960454
NODE_1110_length_60457_cov_33.462402_17,unknown,0.9989232,0.0003083957708440721
NODE_1110_length_60457_cov_33.462402_2,lysis,0.586748,0.03920126333832741
NODE_1110_length_60457_cov_33.462402_20,tail,0.90706646,0.01353559922426939
NODE_1110_length_60457_cov_33.462402_39,tail,0.9351242,0.013799726963043213
NODE_1110_length_60457_cov_33.462402_5,"DNA, RNA and nucleotide metabolism",0.8970037,0.01876043900847435
NODE_1110_length_60457_cov_33.462402_54,"DNA, RNA and nucleotide metabolism",0.364075,0.1824280172586441
NODE_1110_length_60457_cov_33.462402_54,other,0.57769215,0.1596648097038269
NODE_1110_length_60457_cov_33.462402_7,"moron, auxiliary metabolic gene and host takeover",0.7612472,0.028679601848125458
NODE_1110_length_60457_cov_33.462402_8,unknown,0.7545517,0.0850146934390068
NODE_1110_length_60457_cov_33.462402_9,unknown,0.99344474,0.006683527957648039
NODE_1111_length_54881_cov_5.926732_11,head and packaging,0.5783826,0.17629963159561157
NODE_1111_length_54881_cov_5.926732_13,unknown,0.86077374,0.026214318349957466
NODE_1111_length_54881_cov_5.926732_14,head and packaging,0.7068129,0.18002888560295105
NODE_1111_length_54881_cov_5.926732_22,unknown,0.96536726,0.030462026596069336
NODE_1111_length_54881_cov_5.926732_27,other,0.5615497,
NODE_1111_length_54881_cov_5.926732_29,transcription regulation,0.36850107,
NODE_1111_length_54881_cov_5.926732_30,"moron, auxiliary metabolic gene and host takeover",0.9862295,0.015788786113262177
NODE_1111_length_54881_cov_5.926732_34,unknown,0.9984496,
NODE_1111_length_54881_cov_5.926732_35,unknown,0.9854264,
NODE_1111_length_54881_cov_5.926732_37,unknown,0.9739517,
NODE_1111_length_54881_cov_5.926732_38,other,0.6201441,0.05029379948973656
NODE_1111_length_54881_cov_5.926732_40,"moron, auxiliary metabolic gene and host takeover",0.9409678,0.025292426347732544
NODE_1111_length_54881_cov_5.926732_41,"DNA, RNA and nucleotide metabolism",0.96027404,0.03290504217147827
NODE_1111_length_54881_cov_5.926732_43,unknown,0.9805586,
NODE_1111_length_54881_cov_5.926732_44,other,0.90241057,0.0535895898938179
NODE_1111_length_54881_cov_5.926732_45,unknown,0.9590674,
NODE_1111_length_54881_cov_5.926732_46,"moron, auxiliary metabolic gene and host takeover",0.99953985,9.67085434240289e-05
NODE_1111_length_54881_cov_5.926732_47,unknown,0.9433594,
NODE_1111_length_54881_cov_5.926732_48,unknown,0.9930623,
NODE_1111_length_54881_cov_5.926732_49,unknown,0.9978042,
NODE_1111_length_54881_cov_5.926732_50,unknown,0.96522963,
NODE_1111_length_54881_cov_5.926732_51,unknown,0.9912491,
NODE_1111_length_54881_cov_5.926732_52,unknown,0.9832275,
NODE_1111_length_54881_cov_5.926732_53,unknown,0.91816765,
NODE_1111_length_54881_cov_5.926732_54,unknown,0.76372313,0.3084697127342224
NODE_1111_length_54881_cov_5.926732_56,unknown,0.99523807,
NODE_1111_length_54881_cov_5.926732_57,unknown,0.88209474,
NODE_1111_length_54881_cov_5.926732_58,unknown,0.92664003,
NODE_1111_length_54881_cov_5.926732_59,unknown,0.99445844,
NODE_1111_length_54881_cov_5.926732_60,unknown,0.9984915,
NODE_1111_length_54881_cov_5.926732_61,unknown,0.9918144,
NODE_1111_length_54881_cov_5.926732_62,unknown,0.9980348,
NODE_1111_length_54881_cov_5.926732_63,unknown,0.98361844,
NODE_1111_length_54881_cov_5.926732_64,unknown,0.99503183,0.0023872554302215576
NODE_1111_length_54881_cov_5.926732_65,unknown,0.79233855,
NODE_1111_length_54881_cov_5.926732_66,unknown,0.9823751,
NODE_1111_length_54881_cov_5.926732_67,unknown,0.8188269,
NODE_1111_length_54881_cov_5.926732_69,unknown,0.96568024,
NODE_1111_length_54881_cov_5.926732_70,"DNA, RNA and nucleotide metabolism",0.77836674,
NODE_1111_length_54881_cov_5.926732_71,unknown,0.9603953,
NODE_1111_length_54881_cov_5.926732_73,unknown,0.973782,
NODE_1111_length_54881_cov_5.926732_8,tail,0.8752879,0.042653921991586685
NODE_1111_length_54881_cov_5.926732_9,unknown,0.99349844,0.00510362209752202
NODE_111_length_174638_cov_23.637863_1,"DNA, RNA and nucleotide metabolism",0.65033835,
NODE_111_length_174638_cov_23.637863_10,unknown,0.92417175,
NODE_111_length_174638_cov_23.637863_100,unknown,0.7398009,
NODE_111_length_174638_cov_23.637863_101,unknown,0.6166872,
NODE_111_length_174638_cov_23.637863_102,unknown,0.99414766,
NODE_111_length_174638_cov_23.637863_103,unknown,0.85682935,
NODE_111_length_174638_cov_23.637863_104,"DNA, RNA and nucleotide metabolism",0.9968144,
NODE_111_length_174638_cov_23.637863_105,unknown,0.89428043,
NODE_111_length_174638_cov_23.637863_106,unknown,0.9323055,
NODE_111_length_174638_cov_23.637863_107,unknown,0.9958507,
NODE_111_length_174638_cov_23.637863_108,unknown,0.8187815,
NODE_111_length_174638_cov_23.637863_109,unknown,0.4432464,
NODE_111_length_174638_cov_23.637863_11,unknown,0.98396593,
NODE_111_length_174638_cov_23.637863_110,tail,0.4576729,
NODE_111_length_174638_cov_23.637863_111,unknown,0.9669671,
NODE_111_length_174638_cov_23.637863_112,unknown,0.5421736,
NODE_111_length_174638_cov_23.637863_113,unknown,0.8482407,
NODE_111_length_174638_cov_23.637863_114,unknown,0.97987854,
NODE_111_length_174638_cov_23.637863_115,unknown,0.97627944,
NODE_111_length_174638_cov_23.637863_116,unknown,0.67140585,
NODE_111_length_174638_cov_23.637863_117,unknown,0.8550052,
NODE_111_length_174638_cov_23.637863_118,unknown,0.99454015,
NODE_111_length_174638_cov_23.637863_119,"DNA, RNA and nucleotide metabolism",0.96377724,
NODE_111_length_174638_cov_23.637863_12,unknown,0.99976796,
NODE_111_length_174638_cov_23.637863_120,"DNA, RNA and nucleotide metabolism",0.9997148,
NODE_111_length_174638_cov_23.637863_121,unknown,0.9949957,
NODE_111_length_174638_cov_23.637863_122,"DNA, RNA and nucleotide metabolism",0.98533565,
NODE_111_length_174638_cov_23.637863_123,unknown,0.95113313,
NODE_111_length_174638_cov_23.637863_124,"DNA, RNA and nucleotide metabolism",0.55162436,
NODE_111_length_174638_cov_23.637863_125,unknown,0.8617879,
NODE_111_length_174638_cov_23.637863_126,"DNA, RNA and nucleotide metabolism",0.738002,
NODE_111_length_174638_cov_23.637863_127,unknown,0.9332802,
NODE_111_length_174638_cov_23.637863_128,other,0.96104276,
NODE_111_length_174638_cov_23.637863_129,unknown,0.8601249,
NODE_111_length_174638_cov_23.637863_13,unknown,0.90060645,
NODE_111_length_174638_cov_23.637863_130,unknown,0.99259806,
NODE_111_length_174638_cov_23.637863_131,other,0.93431085,
NODE_111_length_174638_cov_23.637863_132,"moron, auxiliary metabolic gene and host takeover",0.9689414,
NODE_111_length_174638_cov_23.637863_133,unknown,0.9757672,
NODE_111_length_174638_cov_23.637863_134,unknown,0.5046682,
NODE_111_length_174638_cov_23.637863_135,unknown,0.999271,
NODE_111_length_174638_cov_23.637863_136,unknown,0.99030507,
NODE_111_length_174638_cov_23.637863_137,unknown,0.91907936,
NODE_111_length_174638_cov_23.637863_138,unknown,0.9765893,
NODE_111_length_174638_cov_23.637863_139,unknown,0.7083597,
NODE_111_length_174638_cov_23.637863_14,unknown,0.97191566,
NODE_111_length_174638_cov_23.637863_140,other,0.9638822,
NODE_111_length_174638_cov_23.637863_141,other,0.9039481,
NODE_111_length_174638_cov_23.637863_142,unknown,0.99275863,
NODE_111_length_174638_cov_23.637863_143,other,0.8823705,
NODE_111_length_174638_cov_23.637863_144,other,0.9970036,
NODE_111_length_174638_cov_23.637863_145,unknown,0.8855635,
NODE_111_length_174638_cov_23.637863_146,"moron, auxiliary metabolic gene and host takeover",0.99102545,
NODE_111_length_174638_cov_23.637863_147,other,0.61650366,
NODE_111_length_174638_cov_23.637863_148,other,0.99692297,
NODE_111_length_174638_cov_23.637863_149,"DNA, RNA and nucleotide metabolism",0.48354247,
NODE_111_length_174638_cov_23.637863_15,unknown,0.9634801,
NODE_111_length_174638_cov_23.637863_150,other,0.7791748,
NODE_111_length_174638_cov_23.637863_151,"moron, auxiliary metabolic gene and host takeover",0.67600906,
NODE_111_length_174638_cov_23.637863_152,other,0.69386727,
NODE_111_length_174638_cov_23.637863_153,unknown,0.5379454,
NODE_111_length_174638_cov_23.637863_154,"moron, auxiliary metabolic gene and host takeover",0.99115527,
NODE_111_length_174638_cov_23.637863_155,"moron, auxiliary metabolic gene and host takeover",0.9156139,
NODE_111_length_174638_cov_23.637863_156,"moron, auxiliary metabolic gene and host takeover",0.87850654,
NODE_111_length_174638_cov_23.637863_157,unknown,0.9620802,
NODE_111_length_174638_cov_23.637863_158,other,0.97370106,
NODE_111_length_174638_cov_23.637863_159,"DNA, RNA and nucleotide metabolism",0.92246675,
NODE_111_length_174638_cov_23.637863_16,"DNA, RNA and nucleotide metabolism",0.9999975,
NODE_111_length_174638_cov_23.637863_160,"moron, auxiliary metabolic gene and host takeover",0.7801405,
NODE_111_length_174638_cov_23.637863_161,unknown,0.9963056,
NODE_111_length_174638_cov_23.637863_162,"moron, auxiliary metabolic gene and host takeover",0.9408853,
NODE_111_length_174638_cov_23.637863_163,"moron, auxiliary metabolic gene and host takeover",0.7635927,
NODE_111_length_174638_cov_23.637863_164,unknown,0.051763747,
NODE_111_length_174638_cov_23.637863_165,"DNA, RNA and nucleotide metabolism",0.9998672,
NODE_111_length_174638_cov_23.637863_166,"DNA, RNA and nucleotide metabolism",0.9473851,
NODE_111_length_174638_cov_23.637863_167,other,0.9995054,
NODE_111_length_174638_cov_23.637863_168,transcription regulation,0.87981254,
NODE_111_length_174638_cov_23.637863_169,"DNA, RNA and nucleotide metabolism",0.98609227,
NODE_111_length_174638_cov_23.637863_17,"moron, auxiliary metabolic gene and host takeover",0.9407262,
NODE_111_length_174638_cov_23.637863_170,other,0.999752,
NODE_111_length_174638_cov_23.637863_171,"DNA, RNA and nucleotide metabolism",0.9857026,
NODE_111_length_174638_cov_23.637863_172,"DNA, RNA and nucleotide metabolism",0.97857386,
NODE_111_length_174638_cov_23.637863_173,unknown,0.98210436,
NODE_111_length_174638_cov_23.637863_174,"DNA, RNA and nucleotide metabolism",0.9967968,
NODE_111_length_174638_cov_23.637863_175,unknown,0.98012894,
NODE_111_length_174638_cov_23.637863_176,unknown,0.9348128,
NODE_111_length_174638_cov_23.637863_177,unknown,0.988228,
NODE_111_length_174638_cov_23.637863_178,"DNA, RNA and nucleotide metabolism",0.9994355,
NODE_111_length_174638_cov_23.637863_179,unknown,0.9902464,
NODE_111_length_174638_cov_23.637863_18,unknown,0.9896457,
NODE_111_length_174638_cov_23.637863_180,unknown,0.62329775,
NODE_111_length_174638_cov_23.637863_181,unknown,0.87143177,
NODE_111_length_174638_cov_23.637863_182,"DNA, RNA and nucleotide metabolism",0.9991872,
NODE_111_length_174638_cov_23.637863_183,"DNA, RNA and nucleotide metabolism",0.999987,
NODE_111_length_174638_cov_23.637863_184,unknown,0.96433663,
NODE_111_length_174638_cov_23.637863_185,"DNA, RNA and nucleotide metabolism",0.4737761,
NODE_111_length_174638_cov_23.637863_186,other,0.99688184,
NODE_111_length_174638_cov_23.637863_187,other,0.9001959,
NODE_111_length_174638_cov_23.637863_188,unknown,0.7158422,
NODE_111_length_174638_cov_23.637863_189,head and packaging,0.59985006,
NODE_111_length_174638_cov_23.637863_19,other,0.9995296,
NODE_111_length_174638_cov_23.637863_190,tail,0.7275573,
NODE_111_length_174638_cov_23.637863_191,tail,0.6344874,
NODE_111_length_174638_cov_23.637863_192,unknown,0.36006224,
NODE_111_length_174638_cov_23.637863_193,tail,0.706756,
NODE_111_length_174638_cov_23.637863_194,unknown,0.8731621,
NODE_111_length_174638_cov_23.637863_195,unknown,0.9108436,
NODE_111_length_174638_cov_23.637863_196,unknown,0.47868925,
NODE_111_length_174638_cov_23.637863_197,tail,0.9999254,
NODE_111_length_174638_cov_23.637863_198,tail,0.7038805,
NODE_111_length_174638_cov_23.637863_199,connector,0.9768465,
NODE_111_length_174638_cov_23.637863_2,unknown,0.9499245,
NODE_111_length_174638_cov_23.637863_20,unknown,0.9707234,
NODE_111_length_174638_cov_23.637863_200,unknown,0.89126533,
NODE_111_length_174638_cov_23.637863_201,connector,0.83411,
NODE_111_length_174638_cov_23.637863_202,tail,0.9494243,
NODE_111_length_174638_cov_23.637863_203,unknown,0.7861746,
NODE_111_length_174638_cov_23.637863_204,tail,0.978394,
NODE_111_length_174638_cov_23.637863_205,unknown,0.6246631,
NODE_111_length_174638_cov_23.637863_206,unknown,0.5582846,
NODE_111_length_174638_cov_23.637863_207,unknown,0.72753817,
NODE_111_length_174638_cov_23.637863_208,tail,0.59607774,
NODE_111_length_174638_cov_23.637863_21,unknown,0.9632299,
NODE_111_length_174638_cov_23.637863_210,unknown,0.63623905,
NODE_111_length_174638_cov_23.637863_211,head and packaging,0.9658546,
NODE_111_length_174638_cov_23.637863_212,unknown,0.99684924,
NODE_111_length_174638_cov_23.637863_213,unknown,0.98636615,
NODE_111_length_174638_cov_23.637863_214,tail,0.75010705,
NODE_111_length_174638_cov_23.637863_215,unknown,0.28130674,
NODE_111_length_174638_cov_23.637863_216,unknown,0.7545157,
NODE_111_length_174638_cov_23.637863_217,unknown,0.31516138,
NODE_111_length_174638_cov_23.637863_218,tail,0.982029,
NODE_111_length_174638_cov_23.637863_219,head and packaging,0.99832493,
NODE_111_length_174638_cov_23.637863_22,unknown,0.947274,
NODE_111_length_174638_cov_23.637863_220,head and packaging,0.9999999,
NODE_111_length_174638_cov_23.637863_221,"DNA, RNA and nucleotide metabolism",0.9336331,
NODE_111_length_174638_cov_23.637863_222,unknown,0.7231075,
NODE_111_length_174638_cov_23.637863_223,unknown,0.88823813,
NODE_111_length_174638_cov_23.637863_224,head and packaging,0.42208666,
NODE_111_length_174638_cov_23.637863_225,transcription regulation,0.9998894,
NODE_111_length_174638_cov_23.637863_226,unknown,0.9197901,
NODE_111_length_174638_cov_23.637863_227,unknown,0.97844476,
NODE_111_length_174638_cov_23.637863_228,"DNA, RNA and nucleotide metabolism",0.98595065,
NODE_111_length_174638_cov_23.637863_229,"DNA, RNA and nucleotide metabolism",0.52928704,
NODE_111_length_174638_cov_23.637863_23,unknown,0.9836987,
NODE_111_length_174638_cov_23.637863_230,unknown,0.9921017,
NODE_111_length_174638_cov_23.637863_231,unknown,0.9303682,
NODE_111_length_174638_cov_23.637863_232,unknown,0.99147594,
NODE_111_length_174638_cov_23.637863_233,unknown,0.970485,
NODE_111_length_174638_cov_23.637863_234,unknown,0.8154094,
NODE_111_length_174638_cov_23.637863_235,unknown,0.9990533,
NODE_111_length_174638_cov_23.637863_236,unknown,0.92304844,
NODE_111_length_174638_cov_23.637863_237,unknown,0.8308883,
NODE_111_length_174638_cov_23.637863_238,unknown,0.99768996,
NODE_111_length_174638_cov_23.637863_239,unknown,0.356647,
NODE_111_length_174638_cov_23.637863_24,unknown,0.9542286,
NODE_111_length_174638_cov_23.637863_240,unknown,0.9323054,
NODE_111_length_174638_cov_23.637863_241,unknown,0.994705,
NODE_111_length_174638_cov_23.637863_242,unknown,0.9974596,
NODE_111_length_174638_cov_23.637863_243,unknown,0.98802817,
NODE_111_length_174638_cov_23.637863_244,unknown,0.9723046,
NODE_111_length_174638_cov_23.637863_245,unknown,0.97446865,
NODE_111_length_174638_cov_23.637863_246,unknown,0.87412804,
NODE_111_length_174638_cov_23.637863_247,unknown,0.7841249,
NODE_111_length_174638_cov_23.637863_248,unknown,0.8916352,
NODE_111_length_174638_cov_23.637863_249,unknown,0.8919346,
NODE_111_length_174638_cov_23.637863_25,unknown,0.9934614,
NODE_111_length_174638_cov_23.637863_250,unknown,0.9015353,
NODE_111_length_174638_cov_23.637863_251,unknown,0.9996853,
NODE_111_length_174638_cov_23.637863_252,unknown,0.99574184,
NODE_111_length_174638_cov_23.637863_253,unknown,0.94670725,
NODE_111_length_174638_cov_23.637863_254,unknown,0.9925511,
NODE_111_length_174638_cov_23.637863_255,unknown,0.97661144,
NODE_111_length_174638_cov_23.637863_256,unknown,0.6824924,
NODE_111_length_174638_cov_23.637863_257,unknown,0.99554706,
NODE_111_length_174638_cov_23.637863_258,unknown,0.9882067,
NODE_111_length_174638_cov_23.637863_259,unknown,0.9783961,
NODE_111_length_174638_cov_23.637863_26,unknown,0.9956922,
NODE_111_length_174638_cov_23.637863_260,unknown,0.75711316,
NODE_111_length_174638_cov_23.637863_261,unknown,0.7163476,
NODE_111_length_174638_cov_23.637863_262,unknown,0.93934697,
NODE_111_length_174638_cov_23.637863_263,unknown,0.99882007,
NODE_111_length_174638_cov_23.637863_27,unknown,0.9875224,
NODE_111_length_174638_cov_23.637863_28,"DNA, RNA and nucleotide metabolism",0.99970126,
NODE_111_length_174638_cov_23.637863_29,unknown,0.9831475,
NODE_111_length_174638_cov_23.637863_3,tail,0.93353164,
NODE_111_length_174638_cov_23.637863_30,"DNA, RNA and nucleotide metabolism",0.9819859,
NODE_111_length_174638_cov_23.637863_31,unknown,0.5716019,
NODE_111_length_174638_cov_23.637863_32,unknown,0.9956324,
NODE_111_length_174638_cov_23.637863_33,unknown,0.99811995,
NODE_111_length_174638_cov_23.637863_34,unknown,0.93216026,
NODE_111_length_174638_cov_23.637863_35,unknown,0.9338399,
NODE_111_length_174638_cov_23.637863_36,unknown,0.9927134,
NODE_111_length_174638_cov_23.637863_37,unknown,0.99946934,
NODE_111_length_174638_cov_23.637863_38,other,0.5635715,
NODE_111_length_174638_cov_23.637863_39,transcription regulation,0.999366,
NODE_111_length_174638_cov_23.637863_40,unknown,0.76511014,
NODE_111_length_174638_cov_23.637863_41,unknown,0.85494417,
NODE_111_length_174638_cov_23.637863_42,unknown,0.98746824,
NODE_111_length_174638_cov_23.637863_43,unknown,0.99281836,
NODE_111_length_174638_cov_23.637863_44,unknown,0.74621594,
NODE_111_length_174638_cov_23.637863_45,"DNA, RNA and nucleotide metabolism",0.37951845,
NODE_111_length_174638_cov_23.637863_46,unknown,0.9961325,
NODE_111_length_174638_cov_23.637863_47,"DNA, RNA and nucleotide metabolism",0.8198879,
NODE_111_length_174638_cov_23.637863_48,unknown,0.9907109,
NODE_111_length_174638_cov_23.637863_49,unknown,0.9925108,
NODE_111_length_174638_cov_23.637863_5,unknown,0.9956405,
NODE_111_length_174638_cov_23.637863_50,unknown,0.9962966,
NODE_111_length_174638_cov_23.637863_51,other,0.9988908,
NODE_111_length_174638_cov_23.637863_52,other,0.9943445,
NODE_111_length_174638_cov_23.637863_53,unknown,0.9660492,
NODE_111_length_174638_cov_23.637863_54,unknown,0.88030475,
NODE_111_length_174638_cov_23.637863_55,"DNA, RNA and nucleotide metabolism",0.28717625,
NODE_111_length_174638_cov_23.637863_56,other,0.99982446,
NODE_111_length_174638_cov_23.637863_57,unknown,0.98693615,
NODE_111_length_174638_cov_23.637863_58,unknown,0.9717583,
NODE_111_length_174638_cov_23.637863_59,unknown,0.98645604,
NODE_111_length_174638_cov_23.637863_6,unknown,0.9178299,
NODE_111_length_174638_cov_23.637863_60,unknown,0.998544,
NODE_111_length_174638_cov_23.637863_61,unknown,0.98247886,
NODE_111_length_174638_cov_23.637863_62,unknown,0.9470595,
NODE_111_length_174638_cov_23.637863_63,unknown,0.8784203,
NODE_111_length_174638_cov_23.637863_64,unknown,0.9926295,
NODE_111_length_174638_cov_23.637863_65,unknown,0.96484774,
NODE_111_length_174638_cov_23.637863_66,unknown,0.9174941,
NODE_111_length_174638_cov_23.637863_67,unknown,0.8520327,
NODE_111_length_174638_cov_23.637863_68,unknown,0.5149115,
NODE_111_length_174638_cov_23.637863_69,unknown,0.99557275,
NODE_111_length_174638_cov_23.637863_7,unknown,0.9936569,
NODE_111_length_174638_cov_23.637863_70,unknown,0.9822114,
NODE_111_length_174638_cov_23.637863_71,unknown,0.9840252,
NODE_111_length_174638_cov_23.637863_72,unknown,0.9657644,
NODE_111_length_174638_cov_23.637863_73,unknown,0.90120316,
NODE_111_length_174638_cov_23.637863_74,unknown,0.9979778,
NODE_111_length_174638_cov_23.637863_75,unknown,0.9215498,
NODE_111_length_174638_cov_23.637863_76,unknown,0.95773387,
NODE_111_length_174638_cov_23.637863_77,unknown,0.9860847,
NODE_111_length_174638_cov_23.637863_78,unknown,0.9157897,
NODE_111_length_174638_cov_23.637863_79,"DNA, RNA and nucleotide metabolism",0.9850405,
NODE_111_length_174638_cov_23.637863_8,unknown,0.92377645,
NODE_111_length_174638_cov_23.637863_80,unknown,0.99447274,
NODE_111_length_174638_cov_23.637863_81,unknown,0.99306434,
NODE_111_length_174638_cov_23.637863_82,unknown,0.99541205,
NODE_111_length_174638_cov_23.637863_83,"DNA, RNA and nucleotide metabolism",0.9783135,
NODE_111_length_174638_cov_23.637863_84,unknown,0.99874264,
NODE_111_length_174638_cov_23.637863_85,unknown,0.9927418,
NODE_111_length_174638_cov_23.637863_86,other,0.96396583,
NODE_111_length_174638_cov_23.637863_87,unknown,0.70820755,
NODE_111_length_174638_cov_23.637863_88,tail,0.7252245,
NODE_111_length_174638_cov_23.637863_89,other,0.83299947,
NODE_111_length_174638_cov_23.637863_9,other,0.9987442,
NODE_111_length_174638_cov_23.637863_90,unknown,0.9190139,
NODE_111_length_174638_cov_23.637863_91,unknown,0.9197635,
NODE_111_length_174638_cov_23.637863_92,unknown,0.99810475,
NODE_111_length_174638_cov_23.637863_93,unknown,0.79904914,
NODE_111_length_174638_cov_23.637863_94,unknown,0.9792697,
NODE_111_length_174638_cov_23.637863_95,unknown,0.8890481,
NODE_111_length_174638_cov_23.637863_96,unknown,0.932465,
NODE_111_length_174638_cov_23.637863_97,unknown,0.9937185,
NODE_111_length_174638_cov_23.637863_98,transcription regulation,0.35221207,
NODE_111_length_174638_cov_23.637863_99,other,0.9960269,
NODE_111_length_60980_cov_4.445351_1,unknown,0.93359256,
NODE_111_length_60980_cov_4.445351_10,unknown,0.9942438,0.0032873153686523438
NODE_111_length_60980_cov_4.445351_17,unknown,0.99816823,0.0012368205934762955
NODE_111_length_60980_cov_4.445351_3,unknown,0.95067143,
NODE_111_length_60980_cov_4.445351_31,"DNA, RNA and nucleotide metabolism",0.91165054,0.10635574907064438
NODE_111_length_60980_cov_4.445351_4,unknown,0.99402183,
NODE_111_length_60980_cov_4.445351_42,tail,0.47032225,
NODE_111_length_60980_cov_4.445351_44,unknown,0.5278158,
NODE_111_length_60980_cov_4.445351_47,unknown,0.99172336,0.005038379691541195
NODE_111_length_60980_cov_4.445351_5,unknown,0.9964481,
NODE_111_length_60980_cov_4.445351_55,tail,0.99960405,0.00012791156768798828
NODE_111_length_60980_cov_4.445351_57,unknown,0.8959491,0.0914023369550705
NODE_111_length_60980_cov_4.445351_59,unknown,0.99093795,
NODE_111_length_60980_cov_4.445351_6,unknown,0.9908973,0.005057692527770996
NODE_111_length_60980_cov_4.445351_7,unknown,0.99275064,
NODE_111_length_60980_cov_4.445351_9,unknown,0.9398672,0.009660476818680763
NODE_11228_length_3973_cov_2.203165_2,unknown,0.96476614,0.03135230392217636
NODE_11228_length_3973_cov_2.203165_3,head and packaging,0.9975782,
NODE_11256_length_4276_cov_1.791045_1,tail,0.87287337,
NODE_1127_length_17155_cov_11.882924_12,head and packaging,0.483839,0.255135715007782
NODE_1127_length_17155_cov_11.882924_8,unknown,0.8726453,0.05994745343923569
NODE_11315_length_7007_cov_4.510501_3,unknown,0.52946645,
NODE_11318_length_3657_cov_9.506941_1,head and packaging,0.93295306,
NODE_11318_length_3657_cov_9.506941_2,unknown,0.76002294,
NODE_11318_length_3657_cov_9.506941_3,head and packaging,0.47436905,
NODE_11338_length_6782_cov_3.624796_5,unknown,0.94847625,0.018736883997917175
NODE_11338_length_6782_cov_3.624796_6,unknown,0.95962334,
NODE_11338_length_6782_cov_3.624796_7,tail,0.76395,
NODE_11357_length_9361_cov_15.820224_3,head and packaging,0.77644116,0.2475050985813141
NODE_11357_length_9361_cov_15.820224_4,head and packaging,0.9917007,0.010827084071934223
NODE_11357_length_9361_cov_15.820224_5,head and packaging,0.9999994,6.364034561556764e-07
NODE_11357_length_9361_cov_15.820224_7,"DNA, RNA and nucleotide metabolism",0.99036616,0.0043163299560546875
NODE_11357_length_9361_cov_15.820224_8,unknown,0.9777024,0.013585001230239868
NODE_1136_length_20367_cov_3.669063_5,tail,0.9722788,
NODE_1136_length_20367_cov_3.669063_6,head and packaging,0.48589712,
NODE_1136_length_20367_cov_3.669063_7,transcription regulation,0.31174824,
NODE_1136_length_20367_cov_3.669063_8,unknown,0.6077822,
NODE_1141_length_28022_cov_5.177602_1,unknown,0.35498998,
NODE_1141_length_28022_cov_5.177602_10,head and packaging,0.42700523,0.1918494552373886
NODE_1141_length_28022_cov_5.177602_15,unknown,0.9958583,0.00039756298065185547
NODE_1141_length_28022_cov_5.177602_16,unknown,0.37200665,
